BMW,KIA,label
226,87,보통
228,64,보통
16,159,빠름
15,97,보통
66,60,보통
69,45,느림
45,144,보통
25,166,빠름
198,144,보통
178,75,보통
239,18,느림
105,97,보통
122,182,빠름
36,150,빠름
203,59,보통
43,73,보통
240,91,보통
69,2,느림
226,104,보통
28,115,보통
25,194,빠름
87,183,빠름
203,6,느림
74,136,보통
135,45,느림
69,160,빠름
47,47,느림
110,137,보통
51,132,보통
184,96,보통
0,174,느림
23,194,빠름
119,122,보통
112,181,빠름
22,158,빠름
72,6,느림
194,104,보통
30,173,빠름
124,70,보통
226,174,빠름
189,7,느림
33,108,보통
32,108,보통
43,44,느림
19,50,보통
68,200,빠름
189,117,보통
250,17,느림
93,74,보통
160,118,보통
250,46,느림
39,83,보통
119,90,보통
193,75,보통
34,33,느림
144,71,보통
25,22,느림
90,189,빠름
20,186,빠름
201,130,보통
165,10,느림
68,153,빠름
52,134,보통
83,184,빠름
90,145,보통
170,128,보통
249,129,보통
72,16,느림
38,131,보통
179,154,빠름
60,80,보통
17,97,보통
108,117,보통
78,145,보통
1,19,느림
203,163,빠름
142,79,보통
35,28,느림
210,49,느림
81,7,느림
126,200,빠름
232,15,느림
37,130,보통
145,159,빠름
140,16,느림
248,80,보통
118,12,느림
35,190,빠름
163,140,보통
113,31,느림
33,51,보통
81,181,빠름
153,106,보통
70,95,보통
98,9,느림
64,178,빠름
64,86,보통
125,17,느림
62,56,보통
2,116,보통
176,82,보통
34,106,보통
120,193,빠름
46,200,빠름
1,110,보통
178,15,느림
116,55,보통
67,26,느림
220,130,보통
33,72,보통
154,57,보통
109,183,빠름
143,155,빠름
7,43,느림
110,11,느림
11,39,느림
80,190,빠름
187,155,빠름
86,19,느림
60,43,느림
0,169,느림
250,143,보통
12,56,보통
205,15,느림
45,14,느림
131,90,보통
218,184,빠름
106,104,보통
122,20,느림
88,121,보통
244,33,느림
58,70,보통
32,26,느림
80,90,보통
180,183,빠름
218,47,느림
72,100,보통
16,174,빠름
199,188,빠름
222,111,보통
146,180,빠름
30,70,보통
77,157,빠름
57,19,느림
203,136,보통
223,26,느림
115,154,빠름
117,189,빠름
10,124,보통
121,42,느림
90,47,느림
228,159,빠름
180,73,보통
22,148,보통
135,108,보통
25,199,빠름
144,153,빠름
114,34,느림
42,138,보통
26,82,보통
250,78,보통
57,190,빠름
205,166,빠름
122,155,빠름
207,155,빠름
11,109,보통
100,72,보통
190,184,빠름
0,61,느림
77,174,빠름
140,13,느림
194,194,빠름
235,23,느림
232,184,빠름
72,133,보통
236,21,느림
229,153,빠름
204,134,보통
94,71,보통
218,34,느림
234,68,보통
136,13,느림
199,29,느림
156,79,보통
124,152,빠름
34,135,보통
104,29,느림
213,28,느림
64,131,보통
79,199,빠름
56,38,느림
68,86,보통
56,50,보통
212,95,보통
78,124,보통
126,127,보통
195,19,느림
75,15,느림
24,73,보통
205,139,보통
194,67,보통
220,5,느림
143,174,빠름
18,133,보통
97,182,빠름
5,77,보통
122,47,느림
7,85,보통
43,55,보통
243,62,보통
19,188,빠름
167,190,빠름
205,114,보통
243,44,느림
243,144,보통
119,105,보통
47,85,보통
175,112,보통
203,169,빠름
16,42,느림
222,139,보통
113,59,보통
158,59,보통
201,77,보통
25,101,보통
5,132,보통
38,181,빠름
41,134,보통
204,50,보통
248,179,빠름
118,120,보통
178,50,보통
192,143,보통
29,26,느림
59,48,느림
5,102,보통
196,66,보통
230,116,보통
67,61,보통
173,118,보통
13,21,느림
195,90,보통
80,161,빠름
194,31,느림
146,95,보통
92,148,보통
184,179,빠름
15,98,보통
204,72,보통
155,119,보통
189,175,빠름
193,197,빠름
49,23,느림
213,47,느림
81,95,보통
241,85,보통
204,59,보통
65,63,보통
56,95,보통
79,90,보통
144,0,느림
108,186,빠름
216,194,빠름
57,71,보통
83,107,보통
2,125,보통
93,102,보통
197,147,보통
134,168,빠름
3,114,보통
100,80,보통
42,167,빠름
229,167,빠름
140,48,느림
222,14,느림
51,63,보통
125,81,보통
215,168,빠름
37,128,보통
33,94,보통
47,45,느림
197,156,빠름
54,184,빠름
78,91,보통
